"Please specify the Order Status for Review Reminder to be sent after. It will work based on Order Creation Date If the Order Status is not specified.","Please specify the Order Status for Review Reminder to be sent after. It will work based on Order Creation Date If the Order Status is not specified.",Amasty_AdvancedReview
"Disable for Customer Group","Disable for Customer Group",Amasty_AdvancedReview
"Customers from selected Customer Groups won’t receive the reminder.","Customers from selected Customer Groups won’t receive the reminder.",Amasty_AdvancedReview
"Send Reminders","Send Reminders",Amasty_AdvancedReview
"Admin is able to send Reminder Emails manually from Review Reminder grid without limit","Admin is able to send Reminder Emails manually from Review Reminder grid without limit",Amasty_AdvancedReview
"Send Reminder Email after, Day(s)","Send Reminder Email after, Day(s)",Amasty_AdvancedReview
"Test Email","Test Email",Amasty_AdvancedReview
"Discount Coupons","Discount Coupons",Amasty_AdvancedReview
Enabled,Enabled,Amasty_AdvancedReview
"Publish Review to Activate Coupon","Publish Review to Activate Coupon",Amasty_AdvancedReview
"Allow to use coupon code only after review is published and approved.","Allow to use coupon code only after review is published and approved.",Amasty_AdvancedReview
"Discount Type","Discount Type",Amasty_AdvancedReview
"Discount Amount","Discount Amount",Amasty_AdvancedReview
"Expire Coupon in (days)","Expire Coupon in (days)",Amasty_AdvancedReview
"Note: if set to 0, coupon can be used only ‘today’ (i.e., the day of coupon receipt).","Note: if set to 0, coupon can be used only ‘today’ (i.e., the day of coupon receipt).",Amasty_AdvancedReview
"Coupon Uses","Coupon Uses",Amasty_AdvancedReview
"Note: if set to 0, the coupon can be used unlimited amount of times.","Note: if set to 0, the coupon can be used unlimited amount of times.",Amasty_AdvancedReview
"Uses per Customer","Uses per Customer",Amasty_AdvancedReview
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only.",Amasty_AdvancedReview
"Apply for Customer Group Only","Apply for Customer Group Only",Amasty_AdvancedReview
"The setting covers only coupon application. Generated coupon will be sent to all customer groups, but only chosen customer groups will be able to apply it. Please kindly keep that in mind and modify the email template in accordance to the setting configuration to avoid customers' confusion.","The setting covers only coupon application. Generated coupon will be sent to all customer groups, but only chosen customer groups will be able to apply it. Please kindly keep that in mind and modify the email template in accordance to the setting configuration to avoid customers' confusion.",Amasty_AdvancedReview
"Min Order Amount","Min Order Amount",Amasty_AdvancedReview
"Admin Notifications","Admin Notifications",Amasty_AdvancedReview
"Send Email Reports for New Reviews","Send Email Reports for New Reviews",Amasty_AdvancedReview
"Email Template to Notify Admin","Email Template to Notify Admin",Amasty_AdvancedReview
"Admin Email Address","Admin Email Address",Amasty_AdvancedReview
"Comma separated Emails, no spaces.","Comma separated Emails, no spaces.",Amasty_AdvancedReview
"Amasty Catalog Advanced Reviews","Amasty Catalog Advanced Reviews",Amasty_AdvancedReview
"Powered by Amasty Advanced Reviews extension.","Powered by Amasty Advanced Reviews extension.",Amasty_AdvancedReview
Header,Header,Amasty_AdvancedReview
"Display Page Control","Display Page Control",Amasty_AdvancedReview
"Number of Products per Page","Number of Products per Page",Amasty_AdvancedReview
"Number of Reviews to Show","Number of Reviews to Show",Amasty_AdvancedReview
"The number of reviews is set to 10 by default.","The number of reviews is set to 10 by default.",Amasty_AdvancedReview
"Reviews from Current Category Only","Reviews from Current Category Only",Amasty_AdvancedReview
"Use on Categories.","Use on Categories.",Amasty_AdvancedReview
"Reviews of Products which belong to the Same Categories Only","Reviews of Products which belong to the Same Categories Only",Amasty_AdvancedReview
"Use on Products.","Use on Products.",Amasty_AdvancedReview
"Reviews Type","Reviews Type",Amasty_AdvancedReview
"Do not Display Reviews with Average Rating less than","Do not Display Reviews with Average Rating less than",Amasty_AdvancedReview
"Enable Slider","Enable Slider",Amasty_AdvancedReview
Template,Template,Amasty_AdvancedReview
Comment,Comment,Amasty_AdvancedReview
Back,Back,Amasty_AdvancedReview
General,General,Amasty_AdvancedReview
Name,Name,Amasty_AdvancedReview
E-Mail,E-Mail,Amasty_AdvancedReview
Status,Status,Amasty_AdvancedReview
Approve,Approve,Amasty_AdvancedReview
"Are you sure you want to approve?","Are you sure you want to approve?",Amasty_AdvancedReview
Inactivate,Inactivate,Amasty_AdvancedReview
ID,ID,Amasty_AdvancedReview
Review,Review,Amasty_AdvancedReview
Nickname,Nickname,Amasty_AdvancedReview
Email,Email,Amasty_AdvancedReview
"Created At","Created At",Amasty_AdvancedReview
"Updated At","Updated At",Amasty_AdvancedReview
Disapprove,Disapprove,Amasty_AdvancedReview
Edit,Edit,Amasty_AdvancedReview
"Delete items","Delete items",Amasty_AdvancedReview
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?",Amasty_AdvancedReview
Cancel,Cancel,Amasty_AdvancedReview
"Cancel items","Cancel items",Amasty_AdvancedReview
"Are you sure you wan't to cancel selected items?","Are you sure you wan't to cancel selected items?",Amasty_AdvancedReview
Send,Send,Amasty_AdvancedReview
"Send Emails","Send Emails",Amasty_AdvancedReview
"Are you sure you wan't to Send selected items?","Are you sure you wan't to Send selected items?",Amasty_AdvancedReview
"Send Test Email","Send Test Email",Amasty_AdvancedReview
"Send Test Emails","Send Test Emails",Amasty_AdvancedReview
"Order #","Order #",Amasty_AdvancedReview
"Product Names","Product Names",Amasty_AdvancedReview
"Store View","Store View",Amasty_AdvancedReview
"Date Created","Date Created",Amasty_AdvancedReview
"Date of Sending","Date of Sending",Amasty_AdvancedReview
